Priority,Relevance Score,Name,Email,Category,Target Audience,Suggested Approach,Reasoning,URL
HIGH,9,ABACUS,abacus@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Offer LSN's event promotion to extend the reach of their cultural celebrations.,ABACUS promotes cultural exchange and hosts diverse events appealing to a wide range of students.,https://www.imperialcollegeunion.org/activities/a-to-z/abacus
HIGH,9,Canadian Society,union@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Emphasize the ability to connect them with other students interested in Canadian culture.,Canadian Society's description suggests events that would be relatable to Canadian expats or anyone interested in Canadian culture.,https://www.imperialcollegeunion.org/activities/a-to-z/canadian-society
HIGH,9,Chinese,chinese@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Highlight the opportunities to promote their cultural events and connect with a large audience.,"Chinese society's cultural events, like Freshers' Dinner and CNY celebrations, are attractive to a wide audience.",https://www.imperialcollegeunion.org/activities/a-to-z/chinese
HIGH,9,Cinema,cinema@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Social students; Film lovers,Highlight the affordability and quality of their screenings to attract students city-wide.,Cinema society offers affordable screenings with high quality sound and screen which could greatly appeal to students across London.,https://www.imperialcollegeunion.org/activities/a-to-z/cinema
HIGH,9,Climate Entrepreneurs,climateentrepreneurs@imperial.ac.uk,Community,Entrepreneurship students; Tech enthusiasts; Business students,Emphasize the opportunity to network with other students in the climate tech space.,Climate Entrepreneurs offers an ecosystem to inspire students with an entrepreneurial mindset across universities.,https://www.imperialcollegeunion.org/activities/a-to-z/climate-entrepreneurs
HIGH,9,DramSoc,dramsoc@imperial.ac.uk,Arts & Entertainment,Arts students; Tech enthusiasts; Social students,Highlight the society's technical theatre expertise and potential for cross-university collaborations on productions.,"DramSoc offers a wide range of activities appealing to students beyond Imperial, including acting, tech, and production, and runs events across the college.",https://www.imperialcollegeunion.org/activities/a-to-z/dramsoc
HIGH,9,Entrepreneurs,entrepreneurs@imperial.ac.uk,Academic Related,Business students; Tech enthusiasts; Career-focused students,Propose a joint networking event with entrepreneurship societies at other London universities.,"Entrepreneurs society aims to facilitate the process of turning ideas into reality, an attractive offering for a broad range of students.",https://www.imperialcollegeunion.org/activities/a-to-z/entrepreneurs
HIGH,9,Erasmus Student Network - ESN,erasmus@imperial.ac.uk,Cultural,International students; Social students; Cultural students,Offer to promote their events to other university's international student communities.,"Erasmus Student Network is designed to welcome exchange students, and could benefit from wider exposure.",https://www.imperialcollegeunion.org/activities/a-to-z/erasmus-student-network-esn
HIGH,9,Hindu Society,hindu@imperial.ac.uk,Community,Social students; Cultural enthusiasts; Community members,"Highlight the potential to reach a large, diverse audience across London universities through their spectacular events.","Hindu Society hosts large-scale events like inter-university balls and cultural celebrations, appealing to a broad audience beyond Imperial.",https://www.imperialcollegeunion.org/activities/a-to-z/hindu-society
HIGH,9,Indian,indian@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; Indian students,Highlight their Bollywood club nights and flagship ball as major events for students from all London universities.,Indian Society hosts large-scale events like Bollywood nights and balls that attract students from across London.,https://www.imperialcollegeunion.org/activities/a-to-z/indian
HIGH,9,Live Music,jazz.rock@imperial.ac.uk,Arts & Entertainment,Social students; Music lovers; Arts enthusiasts,Emphasize LSN's ability to increase attendance at their live music events through cross-university promotion.,Live music events are generally popular across universities and can attract a diverse audience.,https://www.imperialcollegeunion.org/activities/a-to-z/live-music
HIGH,9,Sri Lankan,srilanka@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Promote 'Sapphire' and their cultural events widely to attract attendees from across the UK.,"Sri Lankan Society hosts a large event ('Sapphire') and aims to share their culture, making them very appealing to a broad audience.",https://www.imperialcollegeunion.org/activities/a-to-z/sri-lankan
HIGH,9,Women in Business,imperialwib@imperial.ac.uk,Academic Related,Business students; Networking students; Female students,Highlight LSN's ability to extend the reach of their workshops and networking events to students from other business schools.,"Women in Business societies provide excellent networking opportunities and workshops, which are valuable to students from various universities.",https://www.imperialcollegeunion.org/activities/a-to-z/women-in-business
HIGH,9,Women in SET,women.set@imperial.ac.uk,Academic Related,STEM students; Networking students; Female students,Showcase LSN as a tool to promote their industry networking events and International Women's Day dinner to a broader network of students.,"Similar to Women in Business, this society provides valuable career development opportunities in SET, with networking events and workshops that have wide appeal.",https://www.imperialcollegeunion.org/activities/a-to-z/women-in-set
HIGH,8,A Cappella,acappella@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music lovers; Social students,Highlight how LSN can boost attendance at their concerts and performances.,A cappella groups often perform publically and are enjoyable for a wide audience.,https://www.imperialcollegeunion.org/activities/a-to-z/a-cappella
HIGH,8,Australian,australian@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Promote their social events and holiday celebrations to attract a wider audience.,"Australian society organizes relaxed social events and celebrations, suitable for a broader audience.",https://www.imperialcollegeunion.org/activities/a-to-z/australian
HIGH,8,Baking,baking-society@imperial.ac.uk,Hobbies,Hobbyists; Social students; Foodies,Promote their workshops and bake-offs to attract students with a passion for baking.,Baking Society with workshops and bake-offs appeals to a wide range of students.,https://www.imperialcollegeunion.org/activities/a-to-z/baking
HIGH,8,Bangladeshi,bangladeshi@imperial.ac.uk,Cultural,Cultural students; Social students; Charity supporters,Promote their cultural events and charity initiatives to attract a wider audience.,Bangladeshi society promotes culture and events that attract a wide range of students.,https://www.imperialcollegeunion.org/activities/a-to-z/bangladeshi
HIGH,8,Benelux Society,benelux@imperial.ac.uk,Cultural,Cultural students; Social students; International students,"Promote their cultural events, pub crawls, and collaborations with other universities.","Benelux Society, hosting events to celebrate a culture, suits a wide audience.",https://www.imperialcollegeunion.org/activities/a-to-z/benelux-society
HIGH,8,Bulgarian,bulgarian@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Highlight the potential to attract diverse audiences to their cultural events.,Cultural societies have broad appeal and often organize events celebrating their heritage.,https://www.imperialcollegeunion.org/activities/a-to-z/bulgarian
