Name,Email,Category,Description,Instagram,Facebook,Twitter,Website,URL
A Cappella,acappella@imperial.ac.uk,Arts & Entertainment,"The Imperielles (all-female, contemporary) The Scopes (mixed, contemporary) Take Note (all-female, barbershop) The Techtonics (all-male, contemporary) Surcery (mixed, fusion style) Nth Harmonic (mixed, contemporary/close harmony) All of these groups were founded within the past 14 years, and range in intensity and development. Activities undertaken by the groups include an all-expenses paid tour to Hong Kong (which included two performances to a sold-out 3500-seater stadium), appearing on TV sho",https://www.instagram.com/icacappella,https://www.facebook.com/ICUACappella,https://www.twitter.com/acappellaIC,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/a-cappella
ABACUS,abacus@imperial.ac.uk,Cultural,"We aim to bring together British and Chinese cultures with multiple events to cater for everyone - from hotpot and karaoke to ice skating and bowling. We plan exciting events throughout the year, such as celebrations for Chinese New Year, Christmas and so on! Being a part of the London ABACUS network allows us to host events at exclusive venues across the city alongside seven other universities. As a diverse society, our members range from BBCs (British Born Chinese) and any international studen",https://www.instagram.com/ic_abacus,https://www.facebook.com/groups/ICABACUS,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/abacus
Acute Care Specialities,icaic@imperial.ac.uk,ICSM,"We provide fantastic opportunities for students to gain insight into careers in the above-mentioned specialties through a variety of interactive and engaging events throughout the year, in collaboration with junior doctors and consultants. We are privileged to have the support of specialty experts who are passionate about improving understanding of careers in these exciting specialties. Popular events in the past year included practical skills workshops, specialty career talks, small group case-",https://www.instagram.com/imperial_acute_care,https://www.facebook.com/ImperialCAIC/,https://www.twitter.com/imperialICAIC,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/acute-care-specialities
Aeronautics,aerosoc@imperial.ac.uk,Departmental,"AeroSoc is a community where aeronautics students and aerospace enthusiasts get together to enjoy eye-opening and fun events. As a member throughout the year, you'll get to participate in weekly career talks accompanied by some of the most reputable companies, and you'll have an opportunity to expand your relations with possible future employers. Last year, some of our guests were from Lockheed Martin, Aston Martin, Airbus, Rolls-Royce, Alpine Formula 1, British Airways, and Cathay Pacific... So",https://www.instagram.com/aerosocimperial,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/aeronautics
African Caribbean,afro.caribbean@imperial.ac.uk,Cultural,CSP Chair / President CSP Vice Chair / President Communications / Publications Officer Communications / Publications Officer Communications / Publications Officer Events / Trips Officer Events / Trips Officer,https://www.instagram.com/imperial_acs,https://www.facebook.com/ImperialCollegeAfricanCaribbeanSociety/,https://www.twitter.com/ic_acs,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/african-caribbean
Ahlul Bayt,ahlul_bayt@imperial.ac.uk,Community,CSP Chair / President CSP Vice Chair / President Events / Trips Officer,https://www.instagram.com/imperialabsoc,https://www.facebook.com/ImperialABSoc/,https://www.twitter.com/imperialabsoc,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/ahlul-bayt
Ahmadiyya Muslim Students Association,amsa@imperial.ac.uk,Community,CSP Chair / President,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/ahmadiyya-muslim-students-association
Albanian Society,Albanian@imperial.ac.uk,Cultural,CSP Chair / President,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/albanian-society
Algorithmic Trading,algo.trade@imperial.ac.uk,Academic Related,"Our mission is simple: we want to teach our members about the world of trading, whether that be quantitative, algorithmic or the basics of financial markets. No matter if you are a first-year fresher, a final-year student or a post-grad, we host a variety of events and programmes to help you develop an interest in the area of markets and trading! We run events every week during term time, whether that may be our annual London inter-uni hackathon ""Algothon"", here on campus or a speaker from one o",https://www.instagram.com/ic.algosoc,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.algosoc.com,https://www.imperialcollegeunion.org/activities/a-to-z/algorithmic-trading
Alternative Music,alt.music@imperial.ac.uk,Arts & Entertainment,"What is alternative music? Anything. The weird and obscure, the danceable, the frankly unlistenable, Dutch glitch-core hip-hop, Japanese post-hardcore math-rock or occasionally indiepop, all musical genres are welcome here. This society is a group for music lovers, those who want to discover interesting and new music, and meet other people who are also fanatically obsessed with discovering new bands. Our members possess a huge wealth of knowledge about the London music scene, the latest upcoming",https://www.instagram.com/ic_ams,https://www.facebook.com/groups/altmusicsoc/,https://www.twitter.com/ICAltMusic,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/alternative-music
